Stratum,Metabolite,Median_No_2R,Median_Has_2R,median_diff,p_value,n_no_2R,n_has_2R,FDR,Analysis_Group
Late (91-180 days),Cortisone.acetate..HILIC.,51469.200000000026,50502.05000000002,-967.1500000000087,0.8615384615384615,12,4,1,Predefined
Late (91-180 days),Dexamethasone.acetate.anhydrous..C18.,54865.250000000015,20522.150000000005,-34343.100000000006,0.03910594620994303,12,4,0.5461538461538462,Predefined
Late (91-180 days),Fludrocortisone.acetate..HILIC.,26148.07497939544,20089.224999999988,-6058.849979395451,0.6835164835164834,12,4,1,Predefined
Late (91-180 days),Fludrocortisone..C18.,53569.225000000006,51658.750000000015,-1910.4749999999913,1,12,4,1,Predefined
Late (91-180 days),Hydrocortisone.sodium.succinate..HILIC.,27646.399999999994,26454.9,-1191.4999999999927,0.6835164835164834,12,4,1,Predefined
Late (91-180 days),Mycophenolic.acid.O.acyl.glucuronide..C18.,1140531.7750000004,1168181.9999999998,27650.224999999395,0.7703296703296703,12,4,1,Predefined
Q1 (Earliest),Mycophenolate..C18.,790763.0249999994,1036902.9999999995,246139.9750000001,0.5532212885154062,6,12,0.8679555738379268,Quartile
Q1 (Earliest),Mycophenolate..HILIC.,28108373.17500002,36612594.62500005,8504221.450000033,0.8200818789054083,6,12,0.8831651003596704,Quartile
Q1 (Earliest),X11.Dehydrocorticosterone..HILIC.,47138.97500000002,40862.97499999997,-6276.000000000051,0.6819650937297996,6,12,0.8679555738379268,Quartile
Q1 (Earliest),Prednisone..HILIC.,58410.40000000001,53178.45000000002,-5231.94999999999,0.6164619694031459,6,12,0.8679555738379268,Quartile
Q1 (Earliest),Cortisone..HILIC.,29414.899999999987,37448.324990354246,8033.424990354259,0.6819650937297996,6,12,0.8679555738379268,Quartile
Q1 (Earliest),Tetrahydrocorticosterone..C18.,1088575.8000000003,1178573.8750000007,89998.07500000042,0.8916181857358327,6,12,0.8916181857358327,Quartile
Q1 (Earliest),Tetrahydrocortisone..C18.,78030.20000000001,65479.20000000002,-12550.999999999993,0.7502693385046326,6,12,0.8753142282554048,Quartile
Q1 (Earliest),Prednisone..C18.,107417.02500000002,98277.37500000003,-9139.649999999994,0.43708252531781944,6,12,0.8679555738379268,Quartile
Q1 (Earliest),Cortisone.acetate..HILIC.,56065.94999999997,51720.74999999999,-4345.199999999975,0.33548804137039434,6,12,0.8679555738379268,Quartile
Q1 (Earliest),Dexamethasone.acetate.anhydrous..C18.,79009.20000000004,47817.99999999999,-31191.200000000048,0.024455936220642106,6,12,0.3423831070889895,Quartile
Q1 (Earliest),Fludrocortisone.acetate..HILIC.,22253.100000000006,29650.924999999977,7397.824999999972,0.49364361129067014,6,12,0.8679555738379268,Quartile
Q1 (Earliest),Fludrocortisone..C18.,69163.225,52291.325,-16871.90000000001,0.08306399482870072,6,12,0.581447963800905,Quartile
Q1 (Earliest),Hydrocortisone.sodium.succinate..HILIC.,30157.800013819215,31673.24999999999,1515.4499861807744,0.6164619694031459,6,12,0.8679555738379268,Quartile
Q1 (Earliest),Mycophenolic.acid.O.acyl.glucuronide..C18.,1448561.8250000007,1064746.0749999993,-383815.7500000014,0.33548804137039434,6,12,0.8679555738379268,Quartile
Q2 (Early-Med),Mycophenolate..C18.,1110536.0749999993,792836.3500000002,-317699.72499999905,0.3,14,3,0.8441176470588235,Quartile
Q2 (Early-Med),Mycophenolate..HILIC.,31425572.114806637,28792177.042387046,-2633395.0724195912,0.8588235294117648,14,3,1,Quartile
Q2 (Early-Med),X11.Dehydrocorticosterone..HILIC.,43091.500000000015,71607.34999999999,28515.849999999977,0.09117647058823529,14,3,0.8441176470588235,Quartile
Q2 (Early-Med),Prednisone..HILIC.,35923.67499999999,52065.19999999995,16141.524999999965,0.19705882352941176,14,3,0.8441176470588235,Quartile
Q2 (Early-Med),Cortisone..HILIC.,50615.97499999999,49958.600000000035,-657.3749999999563,0.6764705882352942,14,3,0.9470588235294117,Quartile
Q2 (Early-Med),Tetrahydrocorticosterone..C18.,1059242.1499999994,1121176.1,61933.95000000065,0.36176470588235293,14,3,0.8441176470588235,Quartile
Q2 (Early-Med),Tetrahydrocortisone..C18.,89039.17500000005,57074.15000000004,-31965.02500000001,0.6764705882352942,14,3,0.9470588235294117,Quartile
Q2 (Early-Med),Prednisone..C18.,58113.85000000001,69062.00000000003,10948.150000000016,0.9529411764705882,14,3,1,Quartile
Q2 (Early-Med),Cortisone.acetate..HILIC.,51891.45000000001,50193.24999999999,-1698.200000000019,1,14,3,1,Quartile
Q2 (Early-Med),Dexamethasone.acetate.anhydrous..C18.,44262.00000000001,41537.249999999956,-2724.750000000051,0.8588235294117648,14,3,1,Quartile
Q2 (Early-Med),Fludrocortisone.acetate..HILIC.,26522.999999999993,34416.5,7893.500000000007,0.24411764705882352,14,3,0.8441176470588235,Quartile
Q2 (Early-Med),Fludrocortisone..C18.,56136.950000000004,58084.59999999999,1947.649999999987,0.5911764705882353,14,3,0.9470588235294117,Quartile
Q2 (Early-Med),Hydrocortisone.sodium.succinate..HILIC.,33178.700000000026,33473.150000000016,294.4499999999898,0.6764705882352942,14,3,0.9470588235294117,Quartile
Q2 (Early-Med),Mycophenolic.acid.O.acyl.glucuronide..C18.,1328868.075000001,1069613.8000000005,-259254.27500000037,0.36176470588235293,14,3,0.8441176470588235,Quartile
Q4 (Latest),Mycophenolate..C18.,1140324.8250000004,843187.4000000007,-297137.4249999997,0.31648351648351647,12,4,0.8861538461538461,Quartile
Q4 (Latest),Mycophenolate..HILIC.,25962099.312500004,11057287.199999992,-14904812.112500012,0.07802197802197802,12,4,0.5461538461538462,Quartile
Q4 (Latest),X11.Dehydrocorticosterone..HILIC.,25408.70000000002,24939.86250000001,-468.83750000000873,0.8552381466113881,12,4,1,Quartile
Q4 (Latest),Prednisone..HILIC.,43474.399999999994,44838.29999999997,1363.8999999999724,0.9527472527472529,12,4,1,Quartile
Q4 (Latest),Cortisone..HILIC.,27921.07499999998,34116.200025304126,6195.125025304147,0.21208791208791208,12,4,0.8861538461538461,Quartile
Q4 (Latest),Tetrahydrocorticosterone..C18.,1108613.2500000002,1109268.399060201,655.149060200667,0.8615384615384615,12,4,1,Quartile
Q4 (Latest),Tetrahydrocortisone..C18.,64679.65000000004,42219.049999999996,-22460.600000000042,0.4461538461538461,12,4,1,Quartile
Q4 (Latest),Prednisone..C18.,88291.32500000001,54380.79990422651,-33910.525095773504,0.31648351648351647,12,4,0.8861538461538461,Quartile
Q4 (Latest),Cortisone.acetate..HILIC.,51469.200000000026,50502.05000000002,-967.1500000000087,0.8615384615384615,12,4,1,Quartile
Q4 (Latest),Dexamethasone.acetate.anhydrous..C18.,54865.250000000015,20522.150000000005,-34343.100000000006,0.03910594620994303,12,4,0.5461538461538462,Quartile
Q4 (Latest),Fludrocortisone.acetate..HILIC.,26148.07497939544,20089.224999999988,-6058.849979395451,0.6835164835164834,12,4,1,Quartile
Q4 (Latest),Fludrocortisone..C18.,53569.225000000006,51658.750000000015,-1910.4749999999913,1,12,4,1,Quartile
Q4 (Latest),Hydrocortisone.sodium.succinate..HILIC.,27646.399999999994,26454.9,-1191.4999999999927,0.6835164835164834,12,4,1,Quartile
Q4 (Latest),Mycophenolic.acid.O.acyl.glucuronide..C18.,1140531.7750000004,1168181.9999999998,27650.224999999395,0.7703296703296703,12,4,1,Quartile
